state,population,location
Alabama,4903185,South
Alaska,731545,Pacific West
Arizona,7278717,South West
Arkansas,3017825,South
California,39512223,Pacific West
Colorado,5758736,Mountain West
Connecticut,3565287,North East
DC,705749,North East
Delaware,973764,North East
Florida,21477737,South
Georgia,10617423,South
Hawaii,1415872,Pacific West
Idaho,1787065,Mountain West
Illinois,12671821,Mid West
Indiana,6732219,Mid West
Iowa,3155070,Mid West
Kansas,2913314,Mid West
Kentucky,4467673,South
Louisiana,4648794,South
Maine,1344212,North East
Maryland,6045680,North East
Massachusetts,6949503,North East
Michigan,9986857,Mid West
Minnesota,5639632,Mid West
Mississippi,2976149,South
Missouri,6137428,Mid West
Montana,1068778,Mountain West
Nebraska,1934408,Mid West
Nevada,3080156,Mountain West
New Hampshire,1359711,North East
New Jersey,8882190,North East
New Mexico,2096829,South West
New York,19453561,North East
North Carolina,10488084,South
North Dakota,762062,Mid West
Ohio,11689100,Mid West
Oklahoma,3956971,South
Oregon,4217737,Pacific West
Pennsylvania,12801989,North East
Rhode Island,1059361,North East
South Carolina,5148714,South
South Dakota,884659,Mid West
Tennessee,6833174,South
Texas,28995881,South West
Utah,3205958,Mountain West
Vermont,623989,North East
Virginia,8535519,South
Washington,7614893,Pacific West
West Virginia,1792147,South
Wisconsin,5822434,Mid West
Wyoming,578759,Mountain West
