region,continent
Afghanistan,Middle East
Albania,Eastern Europe
Algeria,Africa
Andorra,Western Europe
Angola,Africa
Antigua and Barbuda,Latin America
Argentina,Latin America
Armenia,Middle East
Australia,Australasia
Austria,Western Europe
Azerbaijan,Middle East
Bahamas,Latin America
Bahrain,Middle East
Bangladesh,Indian Subcontinent
Barbados,Latin America
Belarus,Eastern Europe
Belgium,Western Europe
Belize,Latin America
Benin,Africa
Bhutan,East Asia
Bolivia,Latin America
Bosnia and Herzegovina,Eastern Europe
Botswana,Africa
Brazil,Latin America
Brunei,Australasia
Bulgaria,Eastern Europe
Burkina Faso,Africa
Burma,Indian Subcontinent
Burundi,Africa
Cabo Verde,Africa
Cambodia,Indian Subcontinent
Cameroon,Africa
Canada,North America
Central African Republic,Africa
Chad,Africa
Chile,Latin America
China,East Asia
Colombia,Latin America
Comoros,Indian Subcontinent
Congo (Brazzaville),Africa
Congo (Kinshasa),Africa
Costa Rica,Latin America
Cote d'Ivoire,Africa
Croatia,Eastern Europe
Cuba,Latin America
Cyprus,Eastern Europe
Czechia,Eastern Europe
Denmark,Western Europe
Diamond Princess,Cruise
Djibouti,Africa
Dominica,Latin America
Dominican Republic,Latin America
Ecuador,Latin America
Egypt,Africa
El Salvador,Latin America
Equatorial Guinea,Australasia
Eritrea,Africa
Estonia,Eastern Europe
Eswatini,Africa
Ethiopia,Africa
Fiji,Australasia
Finland,Western Europe
France,Western Europe
Gabon,Africa
Gambia,Africa
Georgia,Eastern Europe
Germany,Western Europe
Ghana,Africa
Greece,Eastern Europe
Grenada,Latin America
Guatemala,Latin America
Guinea,Australasia
Guinea-Bissau,Australasia
Guyana,Latin America
Haiti,Latin America
Holy See,Western Europe
Honduras,Latin America
Hungary,Eastern Europe
Iceland,Western Europe
India,Indian Subcontinent
Indonesia,Australasia
Iran,Middle East
Iraq,Middle East
Ireland,Western Europe
Israel,Middle East
Italy,Western Europe
Jamaica,Latin America
Japan,East Asia
Jordan,Middle East
Kazakhstan,Eurasia
Kenya,Africa
"Korea, South",East Asia
Kosovo,Eastern Europe
Kuwait,Middle East
Kyrgyzstan,Eurasia
Laos,Indian Subcontinent
Latvia,Western Europe
Lebanon,Middle East
Lesotho,Africa
Liberia,Africa
Libya,Middle East
Liechtenstein,Western Europe
Lithuania,Eastern Europe
Luxembourg,Western Europe
MS Zaandam,Cruise
Madagascar,Africa
Malawi,Africa
Malaysia,Australasia
Maldives,Australasia
Mali,Africa
Malta,Western Europe
Mauritania,Africa
Mauritius,Africa
Mexico,North America
Moldova,Eastern Europe
Monaco,Western Europe
Mongolia,East Asia
Montenegro,Eastern Europe
Morocco,Africa
Mozambique,Africa
Namibia,Africa
Nepal,East Asia
Netherlands,Western Europe
New Zealand,Australasia
Nicaragua,Latin America
Niger,Africa
Nigeria,Africa
North Macedonia,Eastern Europe
Norway,Western Europe
Oman,Middle East
Pakistan,Indian Subcontinent
Panama,Latin America
Papua New Guinea,Australasia
Paraguay,Latin America
Peru,Latin America
Philippines,East Asia
Poland,Eastern Europe
Portugal,Western Europe
Qatar,Middle East
Romania,Eastern Europe
Russia,Eurasia
Rwanda,Africa
Saint Kitts and Nevis,Latin America
Saint Lucia,Latin America
Saint Vincent and the Grenadines,Latin America
San Marino,Western Europe
Sao Tome and Principe,Latin America
Saudi Arabia,Middle East
Senegal,Africa
Serbia,Eastern Europe
Seychelles,Indian Subcontinent
Sierra Leone,Africa
Singapore,Australasia
Slovakia,Eastern Europe
Slovenia,Eastern Europe
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Spain,Western Europe
Sri Lanka,Indian Subcontinent
Sudan,Africa
Suriname,Latin America
Sweden,Western Europe
Switzerland,Western Europe
Syria,Middle East
Taiwan*,East Asia
Tajikistan,Eurasia
Tanzania,Africa
Thailand,East Asia
Timor-Leste,Australasia
Togo,Africa
Trinidad and Tobago,Latin America
Tunisia,Africa
Turkey,Eurasia
US,North America
Uganda,Africa
Ukraine,Eastern Europe
United Arab Emirates,Middle East
United Kingdom,Western Europe
Uruguay,Latin America
Uzbekistan,Eurasia
Venezuela,Latin America
Vietnam,East Asia
West Bank and Gaza,Middle East
Western Sahara,Africa
Yemen,Middle East
Zambia,Africa
Zimbabwe,Africa
