state,governor,party
Alabama , Kay Ivey,R
Alaska , Mike Dunleavy ,R
Arizona , Doug Ducey ,R
Arkansas , Asa Hutchinson ,R
California , Gavin Newsom ,D
Colorado , Jared Polis ,D
Connecticut , Ned Lamont ,D
Delaware , John Carney ,D
Florida , Ron DeSantis ,R
Georgia , Brian Kemp ,R
Hawaii , David Ige ,D
Idaho , Brad Little ,R
Illinois , J.B. Pritzker ,D
Indiana , Eric Holcomb ,R
Iowa , Kim Reynolds ,R
Kansas , Laura Kelly ,D
Kentucky , Andy Beshear ,D
Louisiana , John Bel Edwards ,D
Maine , Janet Mills ,D
Maryland , Larry Hogan ,R
Massachusetts , Charlie Baker ,R
Michigan , Gretchen Whitmer ,D
Minnesota , Tim Walz ,D
Mississippi , Tate Reeves ,R
Missouri , Mike Parson ,R
Montana , Steve Bullock ,D
Nebraska , Pete Ricketts ,R
Nevada , Steve Sisolak ,D
New Hampshire , Chris Sununu ,R
New Jersey , Phil Murphy ,D
New Mexico , Michelle Lujan Grisham ,D
New York , Andrew Coumo ,D
North Carolina , Roy Cooper ,D
North Dakota , Doug Burgum ,R
Ohio , Mike DeWine ,R
Oklahoma , Kevin Stitt ,R
Oregon , Kate Brown ,D
Pennsylvania , Tom Wolf ,D
Rhode Island , Gina Raimondo ,D
South Carolina , Henry McMaster ,R
South Dakota , Kristi Noem ,R
Tennessee , Bill Lee ,R
Texas , Greg Abbott ,R
Utah , Gary Herbert ,R
Vermont , Phil Scott ,R
Virginia , Ralph Northam ,D
Washington , Jay Inslee ,D
West Virginia , Jim Justice ,D
Wisconsin , Tony Evers ,D
Wyoming , Mike Gordon ,R
