state,governor,party,legis
Alabama , Kay Ivey,R,R
Alaska , Mike Dunleavy ,R,R
Arizona , Doug Ducey ,R,R
Arkansas , Asa Hutchinson ,R,R
California , Gavin Newsom ,D,D
Colorado , Jared Polis ,D,D
Connecticut , Ned Lamont ,D,D
Delaware , John Carney ,D,D
Florida , Ron DeSantis ,R,R
Georgia , Brian Kemp ,R,R
Hawaii , David Ige ,D,D
Idaho , Brad Little ,R,R
Illinois , J.B. Pritzker ,D,D
Indiana , Eric Holcomb ,R,R
Iowa , Kim Reynolds ,R,R
Kansas , Laura Kelly ,D,R
Kentucky , Andy Beshear ,D,R
Louisiana , John Bel Edwards ,D,R
Maine , Janet Mills ,D,D
Maryland , Larry Hogan ,R,D
Massachusetts , Charlie Baker ,R,D
Michigan , Gretchen Whitmer ,D,R
Minnesota , Tim Walz ,D,D
Mississippi , Tate Reeves ,R,R
Missouri , Mike Parson ,R,R
Montana , Steve Bullock ,D,R
Nebraska , Pete Ricketts ,R,R
Nevada , Steve Sisolak ,D,D
New Hampshire , Chris Sununu ,R,R
New Jersey , Phil Murphy ,D,D
New Mexico , Michelle Lujan Grisham ,D,D
New York , Andrew Coumo ,D,D
North Carolina , Roy Cooper ,D,R
North Dakota , Doug Burgum ,R,R
Ohio , Mike DeWine ,R,R
Oklahoma , Kevin Stitt ,R,R
Oregon , Kate Brown ,D,D
Pennsylvania , Tom Wolf ,D,R
Rhode Island , Gina Raimondo ,D,D
South Carolina , Henry McMaster ,R,R
South Dakota , Kristi Noem ,R,R
Tennessee , Bill Lee ,R,R
Texas , Greg Abbott ,R,R
Utah , Gary Herbert ,R,R
Vermont , Phil Scott ,R,D
Virginia , Ralph Northam ,D,D
Washington , Jay Inslee ,D,D
West Virginia , Jim Justice ,D,R
Wisconsin , Tony Evers ,D,R
Wyoming , Mike Gordon ,R,R
